id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
65,Marginal Revenue,I'm sure you guessed what's coming up. Marginal revenue is the revenue earned by one additional good.,openlectures,http://youtu.be/zypEYUNaNMQ,Define Marginal Revenue,What is marginal revenue?,It is the revenue contributed by one additional good sold.,3,http://www.mediafire.com/?3r5xab3rondw9b2,,Revenue,Theory of the Firm,Firms and How They Operate,Economics
66,Bling Bling,"Now that we are done with both costs and revenue, let's look at profits! It is simply the difference between the two.",openlectures,http://youtu.be/hEXWalwJ_P4,"Define Profit and understand Supernormal, Normal, and Subnormal Profits",What is the term we use when revenue equals cost?,Normal profit.,1,http://www.mediafire.com/?tkt3yytjuadp5mt,,Profit Maximisation,Theory of the Firm,Firms and How They Operate,Economics
67,Using Total Curves,Producers are always interested in finding the quantity where profit is maximised. One way of finding that is by finding the quantity where the largest difference between total revenue and total cost occurs.,openlectures,http://youtu.be/Hol0JKYp-J0,Find Profit Maximising Quantity using Total Curves,Where can you find the profit maximising quantity?,It is the quantity where the difference between the total revenue and total cost is the largest (hence largest profit). ,2,http://www.mediafire.com/?eevnuyngo58xzm3,,Profit Maximisation,Theory of the Firm,Firms and How They Operate,Economics
68,Using Marginal Cost And Marginal Revenue,Another way of finding the profit maximising quantity is to use Marginal Costs and Marginal Revenue. The profit maximising quantity happens when MC = MR.,openlectures,http://youtu.be/ae1GjKuBxqg,Find Profit Maximising Quantity using Marginal Cost and Marginal Revenue,How can we be sure that MC=MR gives the profit maximising quantity?,"Any quantity before MC = MR, MR > MC, hence the firm can earn more if it produces an additional quantity. Any quantity after MC = MR, MC > MR, hence the firm earns more if it cuts production. Only at MC = MR is profit maximised.",3,http://www.mediafire.com/?hz4f64uh6n7leyw,,Profit Maximisation,Theory of the Firm,Firms and How They Operate,Economics
69,Profiting From Calculus,Curious about why exactly MC = MR gives the profit maximising quantity? We can use a little bit of simple math to derive that.,openlectures,http://youtu.be/YWZEpfJ7LxQ,Find Profit Maximising Quantity by Maximising Total Profit using Differentiation,What is the conclusion of this mathematical exercise?,Profit is maximised at MC = MR.,4,http://www.mediafire.com/?4qlyzyy647f75fl,,Profit Maximisation,Theory of the Firm,Firms and How They Operate,Economics
70,Marginalist Principle,The Marginal Cost = Marginal Revenue relationship can be generalised to our daily lives! Let's see how.,openlectures,http://youtu.be/590boD53wig,Understand the Marginalist Principle,What matters when we make a benefit maximising choice? Total cost or marginal cost?,The marginal cost!,5,http://www.mediafire.com/?pm1cxuwruxapmp2,,Profit Maximisation,Theory of the Firm,Firms and How They Operate,Economics
71,Maximising Profit?,"In the previous topic you learnt the traditional theory of the firm. However, many of those assumptions, including the one we make about firms always maximising profits, can be questioned.",openlectures,http://youtu.be/z4q3icQvwHE,Understand that firms may not always maximise profit.,Do firms always maximise profits?,"No they don't! They may simply not have enough information, or they may have alternative aims.",1,http://www.mediafire.com/?dpjw3gi1f1rwckd,,Problems with Traditional Theory,Alternative Theories of the Firm,Firms and How They Operate,Economics
72,I Don't Want Profits. I Want...,Firms may have alternative aims other than profit. Why do they have those?,openlectures,http://youtu.be/RyjSAyjHSiA,Understand the alternative aims that a firm may take.,What are some structures that firms may adopt?,From a single firm operated by the owner to the U form to the M form to the H form.,2,http://www.mediafire.com/?r42befu21w58tw3,,Problems with Traditional Theory,Alternative Theories of the Firm,Firms and How They Operate,Economics
73,Principal Agent Problem,"When firms are just operated by one single owner, it is pretty simple to maximise profits. However, when ownership and control are separated, problems emerge. We call those the principle agent problem. ",openlectures,http://youtu.be/NfigWaPhAqo,Understand the Principle Agent Problem,What causes the principle agent problem?,Two things: separation of ownership and control of a firm and the different amount of information that the two possesses.,3,http://www.mediafire.com/?1vl22joi0802j5r,,Problems with Traditional Theory,Alternative Theories of the Firm,Firms and How They Operate,Economics
74,Attitudes Towards Risk,Different firms have different appetite for risk. We can characterise them systematically.,openlectures,http://youtu.be/SXb8hyZS8Rg,"Define different risk attitudes by using the terms risk averse, risk neutral, and risk loving","If an investor is risk averse, will he invest in a project that has a 10â€‰% chance of success, but will bring back 10 times the original amount in returns?",He won't. He will require a much higher return to justify the risk.,4,http://www.mediafire.com/?sbroeaobusdybha,,Problems with Traditional Theory,Alternative Theories of the Firm,Firms and How They Operate,Economics
75,Long Run Profit Maximisation,"Let's explore the various alternative aims that a firm can adopt. First, a firm can go for a long term profit maximisation strategy that involves making losses in the short run.",openlectures,http://youtu.be/8QKYtTbWmDc,Understand Long Run Profit Maximisation as an alternative to Profit Maximisation,Why is Long Run Profit Maximisation not a robust theory?,"Managers of firms can just claim that ""I'm going to earn profits in the long run."" and use that to justify any losses they make. This is due to the ambiguous nature of the term ""long run"".",1,http://www.mediafire.com/?wqbs80o22zhos9y,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
76,Managerial Utility Maximisation,"Second, managers can also seek to maximise their own utility (remember managers are usually different from owners?)",openlectures,http://youtu.be/vPsypFkY4hc,Understand Managerial Utility Maximisation as an alternative to Profit Maximisation,What may managers want to maximise?,"Their own utility which can be expressed in salary, job security, excellence, and dominance.",2,http://www.mediafire.com/?k1271nb3m0bc5cc,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
77,Sales Revenue Maximisation,"Third, firms may maximise sales or revenue instead of profit. Let's see why.",openlectures,http://youtu.be/cnRd72R1XiU,Understand Sales and Revenue Maximisation as an alternative to Profit Maximisation,What happens when firms maximise revenue instead of profits?,They tend to overproduce and hence lower their profits.,3,http://www.mediafire.com/?yv4hmal3reawsbs,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
78,Growth Maximisation,"Fourth, a firm may want to prioritise growth before profits. In the subsequent checkpoints we explore how a firm can grow.",openlectures,http://youtu.be/MBmTffoAboY,Understand Growth Maximisation as an alternative to Profit Maximisation,Why do firms want to maximise growth instead of profits?,It may appear better for the managers (think principal agent) or the firm may simply seek to expand aggressively.,4,http://www.mediafire.com/?1s2b7i2ul0r4j24,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
79,Growth By Merger,A firm may grow by merging with other firms. Let's see how these mergers can occur.,openlectures,http://youtu.be/s_CHYru3FPs,Understand merger as one growth method,"If an offshore oil extraction firm purchases another oil extraction firm to grow, what kind of merger is this?",Horizontal merger because the two firms are in the same industry.,5,http://www.mediafire.com/?1j1g9504v4a5wbl,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
80,Growth Through Strategic Alliances,Growth can also occur through strategic alliances. Let's see what they are.,openlectures,http://youtu.be/TgXngkQ8AQY,Understand strategic alliances as one growth method,What are some forms of strategic alliances?,Joint ventures and franchises are but two examples.,6,http://www.mediafire.com/?97umlze49tb2z6x,,Alternative Maximising Theories,Alternative Theories of the Firm,Firms and How They Operate,Economics
